point_id,phase,boundary,comparison,role,slot,order,variant,mode,target_bytes,physical_batches,writers
b00167,boundary,bytes_1048576_-1,copy_contiguous,baseline,3,BAAB,k_pwrite,process,1048575,256,4
b00168,boundary,bytes_1048576_-1,copy_contiguous,candidate,4,BAAB,copy_contiguous,process,1048575,256,4
b00169,boundary,bytes_1048576_+0,pwritev_full_1m,baseline,1,ABBA,k_pwrite,process,1048576,256,4
b00170,boundary,bytes_1048576_+0,pwritev_full_1m,candidate,2,ABBA,pwritev_full_1m,process,1048576,256,4
b00171,boundary,bytes_1048576_+0,pwritev_full_1m,candidate,3,ABBA,pwritev_full_1m,process,1048576,256,4
b00172,boundary,bytes_1048576_+0,pwritev_full_1m,baseline,4,ABBA,k_pwrite,process,1048576,256,4
b00173,boundary,bytes_1048576_+0,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,1048576,256,4
b00174,boundary,bytes_1048576_+0,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,1048576,256,4
b00175,boundary,bytes_1048576_+0,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,1048576,256,4
b00176,boundary,bytes_1048576_+0,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,1048576,256,4
b00177,boundary,bytes_1048576_+0,copy_contiguous,baseline,1,ABBA,k_pwrite,process,1048576,256,4
b00178,boundary,bytes_1048576_+0,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,1048576,256,4
b00179,boundary,bytes_1048576_+0,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,1048576,256,4
b00180,boundary,bytes_1048576_+0,copy_contiguous,baseline,4,ABBA,k_pwrite,process,1048576,256,4
b00181,boundary,bytes_1048576_+1,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,1048577,256,4
b00182,boundary,bytes_1048576_+1,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,1048577,256,4
b00183,boundary,bytes_1048576_+1,pwritev_full_1m,baseline,3,BAAB,k_pwrite,process,1048577,256,4
b00184,boundary,bytes_1048576_+1,pwritev_full_1m,candidate,4,BAAB,pwritev_full_1m,process,1048577,256,4
b00185,boundary,bytes_1048576_+1,pwritev_full_4m,baseline,1,ABBA,k_pwrite,process,1048577,256,4
b00186,boundary,bytes_1048576_+1,pwritev_full_4m,candidate,2,ABBA,pwritev_full_4m,process,1048577,256,4
b00187,boundary,bytes_1048576_+1,pwritev_full_4m,candidate,3,ABBA,pwritev_full_4m,process,1048577,256,4
b00188,boundary,bytes_1048576_+1,pwritev_full_4m,baseline,4,ABBA,k_pwrite,process,1048577,256,4
b00189,boundary,bytes_1048576_+1,pwritev_64_1m,candidate,1,BAAB,pwritev_64_1m,process,1048577,256,4
b00190,boundary,bytes_1048576_+1,pwritev_64_1m,baseline,2,BAAB,k_pwrite,process,1048577,256,4
b00191,boundary,bytes_1048576_+1,pwritev_64_1m,baseline,3,BAAB,k_pwrite,process,1048577,256,4
b00192,boundary,bytes_1048576_+1,pwritev_64_1m,candidate,4,BAAB,pwritev_64_1m,process,1048577,256,4
b00193,boundary,bytes_1048576_+1,copy_contiguous,baseline,1,ABBA,k_pwrite,process,1048577,256,4
b00194,boundary,bytes_1048576_+1,copy_contiguous,candidate,2,ABBA,copy_contiguous,process,1048577,256,4
b00195,boundary,bytes_1048576_+1,copy_contiguous,candidate,3,ABBA,copy_contiguous,process,1048577,256,4
b00196,boundary,bytes_1048576_+1,copy_contiguous,baseline,4,ABBA,k_pwrite,process,1048577,256,4
b00197,boundary,bytes_4194304_-1,pwritev_full_1m,candidate,1,BAAB,pwritev_full_1m,process,4194303,1024,4
b00198,boundary,bytes_4194304_-1,pwritev_full_1m,baseline,2,BAAB,k_pwrite,process,4194303,1024,4
