cell,engine,mode,payload,batch,writers,bpw,shape,rep,ev_s,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
group-p250-b10,log,group,250,10,4,500,perwriter,1,14813,1.3502,2599.4,5830.3,503,2542.7
group-p250-b10,bare,group,250,10,4,500,perwriter,1,14582,1.3716,2500.6,5648.2,523,2571.7
group-p250-b10,bare,group,250,10,4,500,perwriter,2,13277,1.5064,2507.4,5039.9,596,2482.1
group-p250-b10,log,group,250,10,4,500,perwriter,2,8767,2.2813,4990.6,8319.8,888,2525.5
group-p250-b10,b0,group,250,10,4,500,perwriter,2,14175,1.4109,2702.4,8992.6,500,2566.4
group-p250-b10,b1,group,250,10,4,500,perwriter,2,14265,1.4020,2710.5,6132.7,500,2544.2
group-p250-b10,b0d,group,250,10,4,500,perwriter,2,14689,1.3616,2702.0,2935.2,500,2478.7
group-p250-b10,b0dth,group,250,10,4,500,perwriter,2,14360,1.3928,2697.7,5882.0,500,2544.5
proc-p250-b100,bare,process,250,100,4,2500,perwriter,0,4685649,0.2134,77.1,112.3,0,0.0
proc-p250-b100,log,process,250,100,4,2500,perwriter,0,1480965,0.6752,214.0,442.0,0,0.0
proc-p250-b100,b0,process,250,100,4,2500,perwriter,0,1569626,0.6371,192.7,359.7,0,0.0
proc-p250-b100,b1,process,250,100,4,2500,perwriter,0,1790888,0.5584,156.9,327.8,0,0.0
proc-p250-b100,b0d,process,250,100,4,2500,perwriter,0,2549078,0.3923,130.8,228.8,0,0.0
proc-p250-b100,b0dth,process,250,100,4,2500,perwriter,0,3648203,0.2741,94.2,135.0,0,0.0
proc-p250-b100,b0dth,process,250,100,4,2500,perwriter,1,3608087,0.2772,94.5,126.5,0,0.0
proc-p250-b100,b0d,process,250,100,4,2500,perwriter,1,2594929,0.3854,135.9,226.9,0,0.0
proc-p250-b100,b1,process,250,100,4,2500,perwriter,1,1811280,0.5521,151.5,394.3,0,0.0
proc-p250-b100,b0,process,250,100,4,2500,perwriter,1,1747447,0.5723,160.5,365.0,0,0.0
proc-p250-b100,log,process,250,100,4,2500,perwriter,1,1396659,0.7160,222.7,524.9,0,0.0
proc-p250-b100,bare,process,250,100,4,2500,perwriter,1,4607228,0.2171,77.8,124.5,0,0.0
proc-p250-b100,bare,process,250,100,4,2500,perwriter,2,4638734,0.2156,77.3,115.7,0,0.0
proc-p250-b100,log,process,250,100,4,2500,perwriter,2,1480972,0.6752,205.0,496.9,0,0.0
proc-p250-b100,b0,process,250,100,4,2500,perwriter,2,1560464,0.6408,189.7,449.9,0,0.0
proc-p250-b100,b1,process,250,100,4,2500,perwriter,2,1870452,0.5346,148.0,440.7,0,0.0
proc-p250-b100,b0d,process,250,100,4,2500,perwriter,2,2238667,0.4467,159.3,230.1,0,0.0
proc-p250-b100,b0dth,process,250,100,4,2500,perwriter,2,3600988,0.2777,94.7,131.9,0,0.0
group-p250-b100,bare,group,250,100,4,500,perwriter,0,127894,1.5638,2714.7,7344.2,501,2988.3
group-p250-b100,log,group,250,100,4,500,perwriter,0,114786,1.7424,3103.2,6046.3,505,3071.0
group-p250-b100,b0,group,250,100,4,500,perwriter,0,111515,1.7935,3200.2,6182.7,500,3185.5
group-p250-b100,b1,group,250,100,4,500,perwriter,0,120735,1.6565,2942.5,6126.4,501,2896.8
group-p250-b100,b0d,group,250,100,4,500,perwriter,0,120859,1.6548,2972.2,5257.7,500,2957.5
group-p250-b100,b0dth,group,250,100,4,500,perwriter,0,129287,1.5469,2882.2,6009.6,500,2765.9
group-p250-b100,b0dth,group,250,100,4,500,perwriter,1,126352,1.5829,2939.4,5118.0,500,2817.7
group-p250-b100,b0d,group,250,100,4,500,perwriter,1,120638,1.6579,2985.8,5951.8,500,2944.2
group-p250-b100,b1,group,250,100,4,500,perwriter,1,116221,1.7209,3067.9,6111.4,500,3053.2
