cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
proc-p250-b1000-w1,bare,process,250,1000,1,250,stable,0,3027382,330.3184,0.0826,137.1,190.6,0,0.0
proc-p250-b1000-w1,log,process,250,1000,1,250,stable,0,3213862,311.1521,0.0778,231.2,330.1,0,0.0
proc-p250-b1000-w1,log,process,250,1000,1,250,stable,1,3335014,299.8488,0.0750,231.2,307.1,0,0.0
proc-p250-b1000-w1,bare,process,250,1000,1,250,stable,1,2632822,379.8206,0.0950,140.3,213.1,0,0.0
proc-p250-b1000-w1,bare,process,250,1000,1,250,stable,2,2732906,365.9109,0.0915,139.8,243.5,0,0.0
proc-p250-b1000-w1,log,process,250,1000,1,250,stable,2,3086038,324.0401,0.0810,252.2,311.2,0,0.0
group-p250-b1000-w1,bare,group,250,1000,1,100,stable,0,321045,3114.8284,0.3115,2888.6,3135.3,100,2762.1
group-p250-b1000-w1,log,group,250,1000,1,100,stable,0,296163,3376.5225,0.3377,3209.6,6291.6,100,2859.0
group-p250-b1000-w1,log,group,250,1000,1,100,stable,1,307427,3252.8092,0.3253,3160.5,3275.5,100,2748.2
group-p250-b1000-w1,bare,group,250,1000,1,100,stable,1,301969,3311.6029,0.3312,2924.3,6045.6,100,2906.6
group-p250-b1000-w1,bare,group,250,1000,1,100,stable,2,293074,3412.1072,0.3412,2939.7,4845.0,100,3042.6
group-p250-b1000-w1,log,group,250,1000,1,100,stable,2,275756,3626.3897,0.3626,3274.4,6328.0,100,3086.2
proc-p250-b1000-w4,bare,process,250,1000,4,250,stable,0,3316144,301.5550,0.3016,1003.1,1304.3,0,0.0
proc-p250-b1000-w4,log,process,250,1000,4,250,stable,0,5855862,170.7690,0.1708,350.5,1041.6,0,0.0
proc-p250-b1000-w4,log,process,250,1000,4,250,stable,1,6230462,160.5017,0.1605,312.1,578.4,0,0.0
proc-p250-b1000-w4,bare,process,250,1000,4,250,stable,1,3285514,304.3664,0.3044,1028.7,1375.5,0,0.0
proc-p250-b1000-w4,bare,process,250,1000,4,250,stable,2,3239078,308.7298,0.3087,1033.7,1329.6,0,0.0
proc-p250-b1000-w4,log,process,250,1000,4,250,stable,2,6893631,145.0614,0.1451,348.2,810.6,0,0.0
group-p250-b1000-w4,bare,group,250,1000,4,100,stable,0,1015383,984.8497,0.3939,3618.5,6919.8,101,3068.1
group-p250-b1000-w4,log,group,250,1000,4,100,stable,0,974894,1025.7528,0.4103,3620.3,6826.7,103,2946.7
group-p250-b1000-w4,log,group,250,1000,4,100,stable,1,944687,1058.5514,0.4234,3669.0,7011.1,105,2932.8
group-p250-b1000-w4,bare,group,250,1000,4,100,stable,1,1051574,950.9554,0.3804,3571.7,6860.9,100,2987.0
group-p250-b1000-w4,bare,group,250,1000,4,100,stable,2,667945,1497.1282,0.5989,6032.8,7856.6,101,5113.4
group-p250-b1000-w4,log,group,250,1000,4,100,stable,2,654566,1527.7305,0.6111,5735.6,7423.5,103,4878.8
