cell,engine,mode,payload,batch,writers,bpw,kind,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us
group-p250-b10-w4,bare,group,250,10,4,500,stable,0,13922,718.2906,1.4366,2547.0,5927.5,501,2807.6
group-p250-b10-w4,log,group,250,10,4,500,stable,0,6540,1528.9374,3.0579,5951.6,8994.0,1000,3027.3
group-p250-b10-w4,log,group,250,10,4,500,stable,1,6655,1502.5717,3.0051,5614.6,11552.2,1000,2978.1
group-p250-b10-w4,bare,group,250,10,4,500,stable,1,12521,798.6468,1.5973,2966.2,4936.0,502,3118.5
group-p250-b10-w4,bare,group,250,10,4,500,stable,2,13530,739.0950,1.4782,2734.1,4796.7,501,2888.3
group-p250-b10-w4,log,group,250,10,4,500,stable,2,12478,801.4114,1.6028,2793.7,5902.4,502,3051.0
proc-p250-b100-w1,bare,process,250,100,1,2500,stable,0,3076159,32.5081,0.0813,26.7,51.1,0,0.0
proc-p250-b100-w1,log,process,250,100,1,2500,stable,0,1047367,95.4775,0.2387,84.9,139.1,0,0.0
proc-p250-b100-w1,log,process,250,100,1,2500,stable,1,1132904,88.2687,0.2207,72.6,144.9,0,0.0
proc-p250-b100-w1,bare,process,250,100,1,2500,stable,1,2714129,36.8442,0.0921,27.9,54.5,0,0.0
proc-p250-b100-w1,bare,process,250,100,1,2500,stable,2,3258382,30.6901,0.0767,26.5,41.8,0,0.0
proc-p250-b100-w1,log,process,250,100,1,2500,stable,2,1118169,89.4319,0.2236,77.5,143.0,0,0.0
group-p250-b100-w1,bare,group,250,100,1,300,stable,0,38745,2580.9463,0.7743,2569.1,3282.4,300,2513.9
group-p250-b100-w1,log,group,250,100,1,300,stable,0,37116,2694.2214,0.8083,2573.1,2840.4,300,2582.0
group-p250-b100-w1,log,group,250,100,1,300,stable,1,38153,2621.0536,0.7863,2592.5,2836.4,300,2495.7
group-p250-b100-w1,bare,group,250,100,1,300,stable,1,39546,2528.7050,0.7586,2502.9,2810.9,300,2472.3
group-p250-b100-w1,bare,group,250,100,1,300,stable,2,37777,2647.0896,0.7941,2502.0,5805.6,300,2583.5
group-p250-b100-w1,log,group,250,100,1,300,stable,2,36880,2711.4896,0.8134,2583.3,5797.2,300,2581.7
proc-p250-b100-w4,bare,process,250,100,4,2500,stable,0,4376313,22.8503,0.2285,78.4,121.9,0,0.0
proc-p250-b100-w4,log,process,250,100,4,2500,stable,0,1680185,59.5173,0.5952,171.0,658.4,0,0.0
proc-p250-b100-w4,log,process,250,100,4,2500,stable,1,1645324,60.7783,0.6078,177.6,608.3,0,0.0
proc-p250-b100-w4,bare,process,250,100,4,2500,stable,1,4405045,22.7012,0.2270,78.7,115.9,0,0.0
proc-p250-b100-w4,bare,process,250,100,4,2500,stable,2,4364129,22.9141,0.2291,78.6,116.0,0,0.0
proc-p250-b100-w4,log,process,250,100,4,2500,stable,2,1698991,58.8585,0.5886,170.2,452.1,0,0.0
group-p250-b100-w4,bare,group,250,100,4,300,stable,0,132124,756.8652,0.9082,2888.3,4666.2,300,2879.6
group-p250-b100-w4,log,group,250,100,4,300,stable,0,132154,756.6956,0.9080,2806.0,6050.7,303,2705.5
group-p250-b100-w4,log,group,250,100,4,300,stable,1,135345,738.8542,0.8866,2811.2,6067.7,301,2628.2
group-p250-b100-w4,bare,group,250,100,4,300,stable,1,145224,688.5913,0.8263,2683.4,2883.0,306,2558.7
group-p250-b100-w4,bare,group,250,100,4,300,stable,2,148468,673.5456,0.8083,2670.8,2861.6,301,2553.3
group-p250-b100-w4,log,group,250,100,4,300,stable,2,129375,772.9490,0.9275,2824.1,6172.6,309,2697.5
proc-p250-b1000-w1,bare,process,250,1000,1,250,stable,0,2813127,355.4763,0.0889,144.7,307.3,0,0.0
proc-p250-b1000-w1,log,process,250,1000,1,250,stable,0,2136894,467.9689,0.1170,334.8,564.5,0,0.0
proc-p250-b1000-w1,log,process,250,1000,1,250,stable,1,2156786,463.6529,0.1159,362.8,548.6,0,0.0
proc-p250-b1000-w1,bare,process,250,1000,1,250,stable,1,2660301,375.8973,0.0940,157.5,290.5,0,0.0
proc-p250-b1000-w1,bare,process,250,1000,1,250,stable,2,2800872,357.0316,0.0893,145.9,203.0,0,0.0
proc-p250-b1000-w1,log,process,250,1000,1,250,stable,2,2065946,484.0398,0.1210,395.4,679.5,0,0.0
group-p250-b1000-w1,bare,group,250,1000,1,100,stable,0,213053,4693.6578,0.4694,4524.8,6526.5,100,4280.4
group-p250-b1000-w1,log,group,250,1000,1,100,stable,0,223300,4478.2800,0.4478,4411.1,6061.5,100,3873.7
group-p250-b1000-w1,log,group,250,1000,1,100,stable,1,219572,4554.3057,0.4554,4509.2,7826.7,100,4038.1
group-p250-b1000-w1,bare,group,250,1000,1,100,stable,1,182320,5484.8641,0.5485,5091.4,8793.0,100,5098.0
group-p250-b1000-w1,bare,group,250,1000,1,100,stable,2,214316,4666.0015,0.4666,4613.0,7059.8,100,4282.8
group-p250-b1000-w1,log,group,250,1000,1,100,stable,2,196468,5089.8893,0.5090,4888.7,7291.7,100,4520.5
proc-p250-b1000-w4,bare,process,250,1000,4,250,stable,0,3322467,300.9812,0.3010,1006.1,1299.4,0,0.0
proc-p250-b1000-w4,log,process,250,1000,4,250,stable,0,2870942,348.3177,0.3483,934.7,2370.3,0,0.0
proc-p250-b1000-w4,log,process,250,1000,4,250,stable,1,2803607,356.6834,0.3567,900.2,2171.2,0,0.0
proc-p250-b1000-w4,bare,process,250,1000,4,250,stable,1,3266049,306.1803,0.3062,1031.4,1474.2,0,0.0
proc-p250-b1000-w4,bare,process,250,1000,4,250,stable,2,3229873,309.6097,0.3096,1039.0,1391.2,0,0.0
proc-p250-b1000-w4,log,process,250,1000,4,250,stable,2,2781759,359.4847,0.3595,929.1,2647.0,0,0.0
group-p250-b1000-w4,bare,group,250,1000,4,100,stable,0,533681,1873.7773,0.7495,7263.9,8976.4,102,6455.9
group-p250-b1000-w4,log,group,250,1000,4,100,stable,0,304416,3284.9775,1.3140,12940.4,15583.4,200,6156.0
group-p250-b1000-w4,log,group,250,1000,4,100,stable,1,388701,2572.6706,1.0291,10093.2,12723.2,200,4728.8
group-p250-b1000-w4,bare,group,250,1000,4,100,stable,1,548927,1821.7369,0.7287,7056.9,9795.9,102,6315.7
group-p250-b1000-w4,bare,group,250,1000,4,100,stable,2,747613,1337.5907,0.5350,4731.0,9504.0,100,4526.2
group-p250-b1000-w4,log,group,250,1000,4,100,stable,2,579098,1726.8243,0.6907,6607.1,8141.4,192,3064.1
newname-proc-w1,bare,process,250,1,1,4000,newname,0,86436,11.5693,0.0463,9.4,22.1,0,0.0
newname-proc-w1,log,process,250,1,1,4000,newname,0,27952,35.7753,0.1431,33.0,67.1,0,0.0
newname-proc-w1,log,process,250,1,1,4000,newname,1,29055,34.4174,0.1377,31.4,66.8,0,0.0
newname-proc-w1,bare,process,250,1,1,4000,newname,1,88693,11.2748,0.0451,8.8,19.5,0,0.0
newname-proc-w1,bare,process,250,1,1,4000,newname,2,86601,11.5472,0.0462,9.9,21.7,0,0.0
newname-proc-w1,log,process,250,1,1,4000,newname,2,29309,34.1189,0.1365,31.0,61.3,0,0.0
newname-group-w1,bare,group,250,1,1,1000,newname,0,396,2526.8711,2.5269,2470.1,5604.4,1000,2501.7
newname-group-w1,log,group,250,1,1,1000,newname,0,294,3405.1029,3.4051,3184.4,5149.9,1000,846.7
newname-group-w1,log,group,250,1,1,1000,newname,1,294,3406.5770,3.4066,3181.9,6312.0,1000,845.9
newname-group-w1,bare,group,250,1,1,1000,newname,1,398,2515.6982,2.5157,2477.4,3028.1,1000,2488.8
newname-group-w1,bare,group,250,1,1,1000,newname,2,401,2491.9730,2.4920,2444.9,4769.7,1000,2468.9
newname-group-w1,log,group,250,1,1,1000,newname,2,291,3440.3780,3.4404,3188.6,6395.8,1000,853.4
newname-proc-w4,bare,process,250,1,4,4000,newname,0,359664,2.7804,0.0445,10.2,20.4,0,0.0
newname-proc-w4,log,process,250,1,4,4000,newname,0,53988,18.5228,0.2964,65.9,160.2,0,0.0
newname-proc-w4,log,process,250,1,4,4000,newname,1,51875,19.2772,0.3084,67.5,188.6,0,0.0
newname-proc-w4,bare,process,250,1,4,4000,newname,1,308750,3.2389,0.0518,10.0,21.9,0,0.0
newname-proc-w4,bare,process,250,1,4,4000,newname,2,348069,2.8730,0.0460,9.9,21.6,0,0.0
newname-proc-w4,log,process,250,1,4,4000,newname,2,53823,18.5793,0.2973,65.2,169.0,0,0.0
newname-group-w4,bare,group,250,1,4,1000,newname,0,1452,688.7173,2.7549,2523.3,4748.5,1001,2707.8
newname-group-w4,log,group,250,1,4,1000,newname,0,890,1123.2303,4.4929,4026.4,8958.6,1003,1517.4
newname-group-w4,log,group,250,1,4,1000,newname,1,896,1116.2592,4.4650,3991.7,8231.9,1002,1509.0
newname-group-w4,bare,group,250,1,4,1000,newname,1,1604,623.5250,2.4941,2488.4,2729.9,1001,2450.4
newname-group-w4,bare,group,250,1,4,1000,newname,2,1565,638.8895,2.5556,2500.3,3379.5,1002,2496.4
newname-group-w4,log,group,250,1,4,1000,newname,2,1000,1000.0679,4.0003,3296.1,8141.1,1001,1348.3
