RATE gen capsules=10000000 pool=1000000
RATE segments=37925
[quiet-guard] contended (load1=11.06 procs=[2481473:cargo,2481781:rustc]); sleeping 5s
[quiet-guard] contended (load1=11.14 procs=[2481473:cargo,2481781:rustc]); sleeping 5s
[quiet-guard] contended (load1=10.73 procs=[2481473:cargo,2481781:rustc]); sleeping 5s
[quiet-guard] contended (load1=10.19 procs=[2481473:cargo,2481781:rustc]); sleeping 5s
[quiet-guard] contended (load1=9.53 procs=[2481473:cargo]); sleeping 5s
[quiet-guard] contended (load1=9.09 procs=[2481473:cargo]); sleeping 5s
[quiet-guard] contended (load1=8.60 procs=[2497193:cargo,2497214:rustc]); sleeping 5s
[quiet-guard] contended (load1=8.63 procs=[2497193:cargo,2497214:rustc]); sleeping 5s
[quiet-guard] contended (load1=8.18 procs=[2497193:cargo,2497214:rustc]); sleeping 5s
[quiet-guard] contended (load1=7.93 procs=[2497193:cargo,2497214:rustc]); sleeping 5s
[quiet-guard] contended (load1=7.77 procs=[2497193:cargo,2497214:rustc]); sleeping 5s
[quiet-guard] contended (load1=7.87 procs=[2497193:cargo,2497214:rustc]); sleeping 5s
[quiet-guard] contended (load1=7.80 procs=[]); sleeping 5s
[quiet-guard] contended (load1=7.42 procs=[]); sleeping 5s
[quiet-guard] contended (load1=7.06 procs=[]); sleeping 5s
[quiet-guard] contended (load1=6.98 procs=[]); sleeping 5s
[quiet-guard] contended (load1=6.58 procs=[2499280:cargo]); sleeping 5s
[quiet-guard] contended (load1=7.25 procs=[2499280:cargo]); sleeping 5s
[quiet-guard] contended (load1=7.07 procs=[]); sleeping 5s
[quiet-guard] contended (load1=6.67 procs=[]); sleeping 5s
[quiet-guard] contended (load1=6.29 procs=[]); sleeping 5s
RATE build-1t wall=1.873s capsules/s=5.34M transitions=7383052
[quiet-guard] contended (load1=6.59 procs=[]); sleeping 5s
