cell,engine,mode,payload,batch,writers,bpw,kind,seg_mb,rep,ev_s,per_append_us,wall_s,p50_us,p99_us,fsyncs,mean_fsync_us,load1
proc-p24-b100-w4,log,process,24,100,4,2500,stable,256,1,2084118,47.9819,0.4798,133.4,357.9,0,0.0,3.70
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,256,1,8533753,11.7182,0.1172,31.2,73.2,0,0.0,3.70
proc-p24-b100-w4,bare,process,24,100,4,2500,stable,256,2,8607983,11.6171,0.1162,29.6,71.9,0,0.0,3.70
proc-p24-b100-w4,log,process,24,100,4,2500,stable,256,2,2099983,47.6194,0.4762,132.8,344.7,0,0.0,3.70
proc-p24-b100-w4,logsp,process,24,100,4,2500,stable,256,2,2167892,46.1278,0.4613,130.1,311.9,0,0.0,3.80
proc-p24-b100-w4,b0d,process,24,100,4,2500,stable,256,2,2863451,34.9229,0.3492,90.7,214.2,0,0.0,3.80
proc-p24-b100-w4,b0dth,process,24,100,4,2500,stable,256,2,6596156,15.1603,0.1516,43.0,81.2,0,0.0,3.80
group-p24-b100-w4,bare,group,24,100,4,300,stable,256,0,154106,648.9056,0.7787,2568.5,2805.8,301,2502.4,4.30
group-p24-b100-w4,log,group,24,100,4,300,stable,256,0,146616,682.0520,0.8185,2655.5,5861.5,300,2505.6,4.19
group-p24-b100-w4,logsp,group,24,100,4,300,stable,256,0,129181,774.1106,0.9289,2704.7,5914.7,305,2795.2,4.42
group-p24-b100-w4,b0d,group,24,100,4,300,stable,256,0,131031,763.1799,0.9158,2784.1,5936.5,300,2744.4,4.31
group-p24-b100-w4,b0dth,group,24,100,4,300,stable,256,0,135685,737.0023,0.8844,2781.1,4716.5,300,2668.2,4.28
group-p24-b100-w4,b0dth,group,24,100,4,300,stable,256,1,134902,741.2771,0.8895,2764.9,5186.1,301,2671.9,4.66
group-p24-b100-w4,b0d,group,24,100,4,300,stable,256,1,135341,738.8744,0.8866,2778.4,4914.6,300,2654.0,5.09
group-p24-b100-w4,logsp,group,24,100,4,300,stable,256,1,138784,720.5425,0.8647,2694.4,4698.8,300,2653.2,5.08
group-p24-b100-w4,log,group,24,100,4,300,stable,256,1,136919,730.3591,0.8764,2705.3,4522.3,301,2667.3,5.07
group-p24-b100-w4,bare,group,24,100,4,300,stable,256,1,141990,704.2773,0.8451,2511.7,8745.2,303,2703.4,5.31
group-p24-b100-w4,bare,group,24,100,4,300,stable,256,2,155595,642.6948,0.7712,2504.6,3183.5,302,2468.6,5.12
group-p24-b100-w4,log,group,24,100,4,300,stable,256,2,143046,699.0777,0.8389,2669.5,2934.5,307,2482.5,4.87
