point_id,phase,comparison,role,repetition,slot,order,variant,mode,payload,events_per_batch,owner_intents,writers,unit_shape,feed_source,feed_weight
e000163,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,2,2,domain,synthetic_sweep,1
e000164,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,2,2,domain,synthetic_sweep,1
e000165,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,2,2,domain,synthetic_sweep,1
e000166,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,10,2,2,domain,synthetic_sweep,1
e000167,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,10,2,2,domain,synthetic_sweep,1
e000168,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,10,2,2,domain,synthetic_sweep,1
e000169,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,2,2,new_name,synthetic_sweep,1
e000170,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,2,2,new_name,synthetic_sweep,1
e000171,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,2,2,new_name,synthetic_sweep,1
e000172,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,2,2,new_name,synthetic_sweep,1
e000173,exploratory,copy_contiguous,candidate,1,1,BAAB,copy_contiguous,process,24,10,2,2,new_name,synthetic_sweep,1
e000174,exploratory,copy_contiguous,baseline,1,2,BAAB,k_pwrite,process,24,10,2,2,new_name,synthetic_sweep,1
e000175,exploratory,copy_contiguous,baseline,1,3,BAAB,k_pwrite,process,24,10,2,2,new_name,synthetic_sweep,1
e000176,exploratory,copy_contiguous,candidate,1,4,BAAB,copy_contiguous,process,24,10,2,2,new_name,synthetic_sweep,1
e000177,exploratory,pwritev_full_8m,baseline,1,1,ABBA,k_pwrite,process,24,10,4,4,domain,synthetic_sweep,1
e000178,exploratory,pwritev_full_8m,candidate,1,2,ABBA,pwritev_full_8m,process,24,10,4,4,domain,synthetic_sweep,1
e000179,exploratory,pwritev_full_8m,candidate,1,3,ABBA,pwritev_full_8m,process,24,10,4,4,domain,synthetic_sweep,1
e000180,exploratory,pwritev_full_8m,baseline,1,4,ABBA,k_pwrite,process,24,10,4,4,domain,synthetic_sweep,1
